wms_company_id,sku_code,order_id,shipment_id,order_line,original_order_qty,shipped_qty,create_date,closed_date
Michelin,428635_101,3938017,179906.0,1155294.0,420.0,420.0,2021-06-17 07:56:01,2021-06-19 18:41:42
Michelin,428635_101,3938019,179907.0,1155295.0,420.0,420.0,2021-06-17 07:56:01,2021-06-19 18:41:42
Michelin,098881_104,3943351,180160.0,1156462.0,720.0,720.0,2021-06-18 10:01:04,2021-06-19 15:50:12
Michelin,401328_105,3944059,180192.0,1156595.0,800.0,800.0,2021-06-18 11:36:01,2021-06-19 15:12:12
Michelin,401328_105,3944065,180191.0,1156594.0,800.0,800.0,2021-06-18 11:36:01,2021-06-19 15:12:12
Michelin,677456_104,3897947,177657.0,1142243.0,500.0,500.0,2021-06-07 05:56:02,2021-06-20 18:46:34
Michelin,495612_124,3938166,179914.0,1155353.0,550.0,550.0,2021-06-17 08:16:07,2021-06-20 17:38:17
Michelin,555774_101,3939353,179970.0,1155578.0,1760.0,1760.0,2021-06-17 10:21:04,2021-06-20 05:26:38
Michelin,423336_115,3941042,179998.0,1155786.0,36.0,36.0,2021-06-18 02:21:01,2021-06-20 18:46:34
Michelin,428635_101,3942326,180140.0,1156255.0,420.0,420.0,2021-06-18 08:36:01,2021-06-20 18:46:34
Michelin,428635_101,3942342,180142.0,1156257.0,420.0,420.0,2021-06-18 08:41:02,2021-06-20 18:46:35
Michelin,428635_101,3942365,180141.0,1156256.0,420.0,420.0,2021-06-18 08:41:02,2021-06-20 18:46:35
Michelin,439132_101,3942571,180150.0,1156267.0,405.0,405.0,2021-06-18 08:56:01,2021-06-20 16:55:21
Michelin,371021_899,3942753,180153.0,1156270.0,12.0,12.0,2021-06-18 09:16:01,2021-06-20 11:19:57
Michelin,371021_899,3943985,180190.0,1156592.0,4.0,4.0,2021-06-18 11:31:02,2021-06-20 11:19:16
Michelin,371021_899,3943985,180190.0,1156593.0,2.0,2.0,2021-06-18 11:31:02,2021-06-20 11:19:16
Michelin,389858_111,3944660,180255.0,1156793.0,112.0,112.0,2021-06-19 04:46:02,2021-06-20 18:46:50
Michelin,389858_111,3944664,180256.0,1156794.0,112.0,112.0,2021-06-19 04:46:02,2021-06-20 18:46:50
Michelin,825202_109,3947159,180380.0,1157451.0,800.0,800.0,2021-06-20 02:56:01,2021-06-20 16:54:26
Michelin,825202_109,3947160,180381.0,1157452.0,800.0,800.0,2021-06-20 02:56:01,2021-06-20 16:54:26
Michelin,677456_104,3897948,177658.0,1142244.0,500.0,500.0,2021-06-07 06:01:02,2021-06-21 14:10:07
Michelin,428635_101,3942375,180145.0,1156262.0,420.0,420.0,2021-06-18 08:41:02,2021-06-21 14:10:07
Michelin,825202_109,3947161,180382.0,1157453.0,800.0,800.0,2021-06-20 02:56:01,2021-06-21 15:53:08
Michelin,825202_109,3947162,180383.0,1157454.0,800.0,800.0,2021-06-20 02:56:02,2021-06-21 15:53:08
Michelin,555774_101,3949228,180498.0,1157841.0,2112.0,2112.0,2021-06-21 00:16:01,2021-06-21 08:51:34
Michelin,677456_104,3897949,177659.0,1142245.0,500.0,500.0,2021-06-07 06:01:02,2021-06-22 17:37:11
Michelin,243266_101,3933109,179577.0,1153268.0,504.0,504.0,2021-06-16 02:26:02,2021-06-22 17:35:44
